,Pred,Real,Pred_Impact,Impact_Metadata
2021-09-17,8.369077158180174,8.088586807250977,8.369077158180174,
2021-09-19,8.293227130358543,8.088586807250977,8.293227130358543,
2021-09-20,8.182964084000345,7.997738838195802,8.182964084000345,
2021-09-21,8.068757233271242,8.17943286895752,8.068757233271242,
2021-09-22,8.032485496688665,8.387084007263184,8.032485496688665,
2021-09-23,8.059303234928763,8.708290100097656,8.059303234928763,
2021-09-24,8.129787260770598,8.727755546569824,8.129787260770598,
2021-09-26,8.27161871131082,8.727755546569824,8.27161871131082,
2021-09-27,8.4023589927326,8.805624961853027,8.4023589927326,
2021-09-28,8.468519669325472,8.747222900390625,8.468519669325472,
2021-09-29,8.471341712593157,8.886738777160645,8.471341712593157,
2021-09-30,8.53744278398578,8.834824562072754,8.53744278398578,
2021-10-01,8.599371710497719,9.0846529006958,8.599371710497719,
2021-10-03,8.680167874256211,9.0846529006958,8.680167874256211,
2021-10-04,8.77898212029447,9.340970993041992,8.77898212029447,
2021-10-05,8.826619385226051,9.545373916625977,8.826619385226051,
2021-10-06,8.912390610974468,9.292302131652832,8.912390610974468,
2021-10-07,8.996825759862885,9.279325485229492,8.996825759862885,
2021-10-08,9.081453529968284,9.448039054870604,9.081453529968284,
2021-10-10,9.151696067094404,9.448039054870604,9.151696067094404,
2021-10-11,9.212640412118402,9.51292896270752,9.212640412118402,
2021-10-12,9.282428897866152,9.51292896270752,9.282428897866152,
2021-10-13,9.353270335772718,9.61350917816162,9.353270335772718,
2021-10-14,9.438998172441542,9.629731178283691,9.438998172441542,
2021-10-15,9.51257115013159,9.603776931762695,9.51257115013159,
2021-10-17,9.570141884648832,9.603776931762695,9.570141884648832,
2021-10-18,9.628384930763003,9.555109024047852,9.628384930763003,
2021-10-19,9.644374244866638,9.087897300720217,9.644374244866638,
2021-10-20,9.53568547703267,9.246880531311035,9.53568547703267,
2021-10-21,9.469790832473263,8.906207084655762,9.469790832473263,
2021-10-22,9.328387136899535,8.818602561950684,9.328387136899535,
2021-10-24,9.120558924067124,8.818602561950684,9.120558924067124,
2021-10-25,8.918881661108967,9.422083854675291,8.918881661108967,
2021-10-26,8.850938526064523,9.33123779296875,8.850938526064523,
2021-10-27,8.947839927275664,9.308526039123535,8.947839927275664,
2021-10-28,9.093002037516582,9.396126747131348,9.093002037516582,
2021-10-29,9.155489543644093,8.808867454528809,9.155489543644093,
2021-11-01,9.065773636977708,9.0846529006958,9.065773636977708,
2021-11-02,9.008566450354634,9.0846529006958,9.008566450354634,
2021-11-03,8.952164810481987,8.711535453796387,8.952164810481987,
2021-11-04,8.906650980809287,8.435748100280762,8.906650980809287,
2021-11-05,8.850600617171933,8.387084007263184,8.850600617171933,
2021-11-08,8.778522809633726,8.47468376159668,8.778522809633726,
2021-11-09,8.750648832183328,8.643400192260742,8.750648832183328,
2021-11-10,8.731440398992701,8.575263977050781,8.731440398992701,
2021-11-11,8.730395554894214,8.58175277709961,8.730395554894214,
2021-11-12,8.739592724947384,8.756957054138184,8.739592724947384,
2021-11-15,8.734281945432526,8.756957054138184,8.734281945432526,
2021-11-16,8.69626960552061,8.847804069519043,8.69626960552061,
2021-11-17,8.718220973606533,8.623933792114258,8.718220973606533,
2021-11-18,8.703333260023681,8.610953330993652,8.703333260023681,
2021-11-19,8.68452453229355,8.468194007873535,8.68452453229355,
2021-11-22,8.609157262766585,8.552552223205566,8.609157262766585,
2021-11-23,8.573619196075311,9.019762992858888,8.573619196075311,
2021-11-24,8.565407922330676,9.204699516296388,8.565407922330676,
2021-11-25,8.663830132695237,9.61026382446289,8.663830132695237,
2021-11-26,8.788638162734854,9.23714542388916,8.788638162734854,
2021-11-29,8.874908362898593,9.561596870422363,8.874908362898593,
2021-11-30,8.996029635993379,9.54862117767334,8.996029635993379,
2021-12-01,9.039941356772614,9.603776931762695,9.039941356772614,
2021-12-02,9.08102424104443,10.336551666259766,9.08102424104443,
2021-12-03,9.27879232324065,10.482342720031738,9.27879232324065,
2021-12-06,9.525892474113773,10.529725074768066,9.525892474113773,
2021-12-07,9.816216475458843,10.701027870178224,9.816216475458843,
2021-12-08,10.04067563484463,10.697383880615234,10.04067563484463,
2021-12-09,10.272446511552173,10.675515174865724,10.272446511552173,
2021-12-10,10.459626562643818,10.80672836303711,10.459626562643818,
2021-12-13,10.644541177852458,10.741121292114258,10.644541177852458,
2021-12-14,10.770633787612153,10.61355209350586,10.770633787612153,
2021-12-15,10.804713937401742,10.679159164428713,10.804713937401742,
2021-12-16,10.79450567031199,10.821306228637695,10.79450567031199,
2021-12-17,10.80707228727337,10.566171646118164,10.80707228727337,
2021-12-20,10.7518086246246,10.263654708862305,10.7518086246246,
2021-12-21,10.610220854167748,10.278236389160156,10.610220854167748,
2021-12-22,10.541061729210865,10.263654708862305,10.541061729210865,
2021-12-23,10.507045129083307,10.325618743896484,10.507045129083307,
2021-12-24,10.533111447354086,10.325618743896484,10.533111447354086,
2021-12-27,10.556350463074805,10.47869873046875,10.556350463074805,
2021-12-28,10.585643789356139,10.489632606506348,10.585643789356139,
2021-12-29,10.645934011134754,10.402158737182615,10.645934011134754,
2021-12-30,10.683259138149678,10.369356155395508,10.683259138149678,
2021-12-31,10.673110476260176,10.369356155395508,10.673110476260176,
2022-01-03,10.666741485304128,10.602621078491213,10.666741485304128,
2022-01-04,10.716578883362557,10.642709732055664,10.716578883362557,
2022-01-05,10.726122727778941,10.230853080749512,10.726122727778941,
2022-01-06,10.66245034915971,10.223563194274902,10.66245034915971,
2022-01-07,10.583915676822441,10.270947456359863,10.583915676822441,
2022-01-10,10.536903828219947,10.208984375,10.536903828219947,
2022-01-11,10.521273241001635,10.511500358581545,10.521273241001635,
2022-01-12,10.496406915659405,10.832239151000977,10.496406915659405,
2022-01-13,10.537875918912247,11.050926208496094,10.537875918912247,
2022-01-14,10.638968529902682,11.462783813476562,10.638968529902682,
2022-01-17,10.76776265770897,11.481008529663086,10.76776265770897,
2022-01-18,10.988225639036868,11.532033920288086,10.988225639036868,
2022-01-19,11.159803590689732,11.477361679077148,11.159803590689732,
2022-01-20,11.296692192344578,11.561193466186523,11.296692192344578,
2022-01-21,11.403534513791412,11.579416275024414,11.403534513791412,
2022-01-24,11.515296893899999,11.64502239227295,11.515296893899999,
2022-01-25,11.570780569861453,12.024080276489258,11.570780569861453,
2022-01-26,11.60097279515537,12.344818115234377,11.60097279515537,
2022-01-27,11.703570437452099,12.348462104797363,11.703570437452099,
2022-01-28,11.845406709001166,11.860061645507812,11.845406709001166,
2022-01-31,11.903917540242928,11.790813446044922,11.903917540242928,
2022-02-01,11.957517078293561,12.027722358703612,11.957517078293561,
2022-02-02,12.007845780980515,11.852774620056152,12.007845780980515,
2022-02-03,12.092292763254276,11.688758850097656,12.092292763254276,
2022-02-04,12.115071153493657,11.892864227294922,12.115071153493657,
2022-02-07,12.111990090569007,11.717917442321776,12.111990090569007,
2022-02-08,12.086678917592563,11.601282119750977,12.086678917592563,
2022-02-09,12.008699976092911,11.64502239227295,12.008699976092911,
2022-02-10,11.954644195296252,11.823616027832031,11.954644195296252,
2022-02-11,11.943043971471267,12.304722785949709,11.943043971471267,
2022-02-14,11.95156576201279,12.027722358703612,11.95156576201279,
2022-02-15,12.017446600955962,11.838191986083984,12.017446600955962,
2022-02-16,12.025567371216395,12.002208709716797,12.025567371216395,
2022-02-17,12.055464200150253,11.954824447631836,12.055464200150253,
2022-02-18,12.106101885676734,12.027722358703612,12.106101885676734,
2022-02-21,12.109694413812347,12.33752727508545,12.109694413812347,
2022-02-22,12.156299544577847,12.297432899475098,12.156299544577847,
2022-02-23,12.207110786422701,12.472386360168455,12.207110786422701,
2022-02-24,12.265413437737122,12.169867515563965,12.265413437737122,
2022-02-25,12.268016782512715,12.392197608947754,12.268016782512715,
2022-02-28,12.242442207143993,12.392197608947754,12.242442207143993,
2022-03-01,12.18263496279681,12.392197608947754,12.18263496279681,
2022-03-02,12.133178424437032,12.636397361755373,12.133178424437032,
2022-03-03,12.221593096989151,12.479676246643066,12.221593096989151,
2022-03-04,12.314421184000905,12.476027488708496,12.314421184000905,
